course_title,course_organization,course_certificate_type,course_rating,course_review_num,course_time,course_difficulty,course_students_enrolled,course_url,course_skills,course_tools,course_summary,course_description
Security Principles,Not Specified,Professional Certificate,,662,5 Hours,Advanced,122,https://www.coursera.org/learn/-security-principles,Information Assurance; Data Integrity; Security Controls; Governance; Cyber Risk; Risk Management Framework; Cyber Governance; Data Ethics; Cyber Security Policies; Cybersecurity; Security Awareness,Not Specified,Not Specified,Not Specified
An Introduction to Accessibility and Inclusive Design,Not Specified,Professional Certificate,,88,2 Weeks,Advanced,22,https://www.coursera.org/learn/accessibility,"Advocacy; Disabilities; Web Content Accessibility Guidelines; Law, Regulation, and Compliance; Instructional Design; Visual Impairment Education; Adaptive Equipment; Education and Training",Microsoft Office; Hypertext Markup Language (HTML),Not Specified,Not Specified
Graphic Design,Not Specified,Professional Certificate,,349,3 Weeks,Advanced,313,https://www.coursera.org/learn/adobe-graphic-design,Graphic and Visual Design Software; Typography; Design; Graphic Design; Design Elements And Principles; Creativity; Digital Design; Graphic and Visual Design; Color Theory,Adobe Illustrator; Generative AI; Graphics Software; Adobe Creative Cloud,Not Specified,Not Specified
Advanced RAG with Vector Databases and Retrievers,Not Specified,Professional Certificate,,12,8 Hours,Advanced,123,https://www.coursera.org/learn/advanced-rag-with-vector-databases-and-retrievers,User Interface (UI); Retrieval-Augmented Generation; Embeddings; Performance Tuning; LLM Application; Semantic Web,UI Components; Vector Databases,Not Specified,Not Specified
Advanced React,Not Specified,Professional Certificate,,482,3 Weeks,Advanced,1,https://www.coursera.org/learn/advanced-react,Context Management; Front-End Web Development; React.js; Unit Testing; Javascript; Software Design Patterns,Jest (JavaScript Testing Framework); Web Development Tools; UI Components; Application Programming Interface (API); JavaScript Frameworks,Not Specified,Not Specified
Agentic AI with LangChain and LangGraph,Not Specified,Professional Certificate,,26,3 Weeks,Advanced,49,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Data Science; Generative AI Agents; Software Development; Agentic systems; Retrieval-Augmented Generation; Artificial Intelligence and Machine Learning (AI/ML); Responsible AI; LLM Application,AI Workflows; AI Orchestration; Agentic Workflows; Python Programming; LangChain; Generative AI; LangGraph,Not Specified,Not Specified
"Agentic AI with LangGraph, CrewAI, AutoGen and BeeAI",Not Specified,Professional Certificate,,16,1 Weeks,Advanced,49,https://www.coursera.org/learn/agentic-ai-with-langgraph-crewai-autogen-and-beeai,Generative AI Agents; Software Design Patterns; LLM Application; Agentic systems; Context Management; Large Language Modeling; Application Design; Tool Calling,Agentic Workflows; AI Workflows; AI Orchestration,Not Specified,Not Specified
Agile with Atlassian Jira,Not Specified,Professional Certificate,,710,1 Weeks,Advanced,383,https://www.coursera.org/learn/agile-atlassian-jira,Not Specified,Not Specified,Not Specified,Not Specified
Introduction to Agile Development and Scrum,Not Specified,Professional Certificate,,714,14 Days,Advanced,355,https://www.coursera.org/learn/agile-development-and-scrum,Not Specified,Not Specified,Not Specified,Not Specified
AI Code Generation for Everyone,Not Specified,Professional Certificate,,0,1 Weeks,Advanced,0,https://www.coursera.org/learn/ai-code-generation-everyone,Simulations; Program Development; Data Science; Artificial Intelligence; Web Development; Debugging; Data Analysis; HTML and CSS,Vibe coding; Prompt Engineering; Generative AI; Python Programming,Not Specified,Not Specified
