url,title,rating,learning_path,topic,level,duration,students_enrolled,description,learning_tools
https://www.dicoding.com/academies/555-belajar-fundamental-analisis-data,Belajar Fundamental Analisis Data,4.83,Data Scientist,Data,Level: Menengah,70 Jam Belajar,,Level: Menengah,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Google Colaboratory
https://www.dicoding.com/academies/565-belajar-toolset-untuk-pengembangan-front-end-web,Belajar Toolset untuk Pengembangan Front-End Web,4.87,,Full Stack,Level: Mahir,65 Jam Belajar,,Level: Mahir,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Celeron (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Teks Editor (VSCode)
https://www.dicoding.com/academies/570-belajar-dasar-manajemen-proyek,Belajar Dasar Manajemen Proyek,4.86,,Computer Science,Level: Dasar,11 Jam Belajar,,Level: Dasar,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Celeron (Rekomendasi Core i3 ke atas)
https://www.dicoding.com/academies/580-belajar-pemrograman-fungsional-dengan-haskell,Belajar Pemrograman Fungsional dengan Haskell,4.92,,Data,Level: Pemula,20 Jam Belajar,,Level: Pemula,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Web Browser (Google Chrome atau Mozilla Firefox)
https://www.dicoding.com/academies/590-belajar-penerapan-data-science,Belajar Penerapan Data Science,4.89,Data Scientist,AI,Level: Mahir,110 Jam Belajar,,+1 lainnya,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Teks Editor (VSCode)
https://www.dicoding.com/academies/600-belajar-dasar-structured-query-language-sql,Belajar Dasar Structured Query Language (SQL),4.87,Data Scientist,Data,Level: Dasar,11 Jam Belajar,,Level: Dasar,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Web Browser (Google Chrome atau Mozilla Firefox)
https://www.dicoding.com/academies/605-memulai-pemrograman-dengan-haskell,Memulai Pemrograman dengan Haskell,4.86,,Data,Level: Dasar,20 Jam Belajar,,Level: Dasar,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Web Browser (Google Chrome atau Mozilla Firefox)
https://www.dicoding.com/academies/610-menjadi-node-js-application-developer,Menjadi Node.js Application Developer,4.83,Back-End JavaScript,Full Stack,Level: Menengah,57 Jam Belajar,,Level: Menengah,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Command Line (Terminal atau cmd)
https://www.dicoding.com/academies/615-belajar-dasar-data-science,Belajar Dasar Data Science,4.84,Data Scientist,Machine Learning,Level: Dasar,11 Jam Belajar,,Level: Dasar,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Web Browser (Google Chrome atau Mozilla Firefox)
https://www.dicoding.com/academies/620-belajar-pemrograman-prosedural-dengan-python,Belajar Pemrograman Prosedural dengan Python,4.85,,Programming Language,Level: Pemula,33 Jam Belajar,,Level: Pemula,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Web Browser (Google Chrome atau Mozilla Firefox)
