resource_id,role_id,step_number,nama_skill,link_course,tipe,platform
RES0001,R001,1,Agile,https://www.coursera.org/learn/agile-project-management,Video Course + Certificate,Coursera
RES0002,R001,1,"Python, Html, Css",https://www.coursera.org/learn/ai-code-generation-everyone,Video Course + Certificate,Coursera
RES0003,R001,1,Sql,https://www.coursera.org/learn/analyze-data,Video Course + Certificate,Coursera
RES0004,R001,2,Html,https://www.udemy.com/html-online-course/,Video Course + Certificate,Udemy
RES0005,R001,2,"Html, Css",https://www.udemy.com/html-tutorial/,Video Course + Certificate,Udemy
RES0006,R001,2,Html,https://www.udemy.com/html-tutorials/,Video Course + Certificate,Udemy
RES0007,R001,3,"Html, Css, React",https://www.coursera.org/specializations/dot-net-fullstack,Video Course + Certificate,Coursera
RES0008,R001,3,Sql,https://www.coursera.org/specializations/data-analytics-business,Video Course + Certificate,Coursera
RES0009,R001,3,Python,https://www.coursera.org/specializations/data-science-python,Video Course + Certificate,Coursera
RES0010,R001,4,Html,https://www.coursera.org/learn/accessibility,Video Course + Certificate,Coursera
RES0011,R001,4,"Javascript, React",https://www.coursera.org/learn/advanced-react,Video Course + Certificate,Coursera
RES0012,R001,4,Python,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0013,R001,5,Java,https://www.coursera.org/professional-certificates/java-developer,Video Course + Certificate,Coursera
RES0014,R001,5,"Javascript, Css",https://www.coursera.org/professional-certificates/meta-front-end-developer,Video Course + Certificate,Coursera
RES0015,R001,5,"Git, Javascript, React",https://www.coursera.org/professional-certificates/meta-ios-developer,Video Course + Certificate,Coursera
RES0016,R002,1,"Css, Html",https://www.coursera.org/learn/ai-code-generation-everyone,Video Course + Certificate,Coursera
RES0017,R002,1,"Css, Javascript, Html",https://www.coursera.org/learn/html-css-javascript-for-web-developers,Video Course + Certificate,Coursera
RES0018,R002,1,"Css, Javascript, Git, Html",https://www.coursera.org/learn/introduction-to-web-development-with-html-css-javacript,Video Course + Certificate,Coursera
RES0019,R002,2,Javascript,https://www.udemy.com/javascript-course-for-beginners/,Video Course + Certificate,Udemy
RES0020,R002,2,Javascript,https://www.udemy.com/javascript-dom-dynamic-web-interactive-content-boot-camp/,Video Course + Certificate,Udemy
RES0021,R002,2,Javascript,https://www.udemy.com/javascript-dom/,Video Course + Certificate,Udemy
RES0022,R002,3,"Css, React, Html",https://www.coursera.org/specializations/dot-net-fullstack,Video Course + Certificate,Coursera
RES0023,R002,3,"Javascript, React",https://www.coursera.org/learn/developing-frontend-apps-with-react,Video Course + Certificate,Coursera
RES0024,R002,3,"Css, Javascript, Html",https://www.coursera.org/specializations/django,Video Course + Certificate,Coursera
RES0025,R002,4,Html,https://www.coursera.org/learn/accessibility,Video Course + Certificate,Coursera
RES0026,R002,4,"Javascript, React",https://www.coursera.org/learn/advanced-react,Video Course + Certificate,Coursera
RES0027,R002,4,Git,https://www.coursera.org/learn/getting-started-with-git-and-github,Video Course + Certificate,Coursera
RES0028,R002,5,"Javascript, Html",https://www.coursera.org/specializations/web-applications,Video Course + Certificate,Coursera
RES0029,R002,5,Javascript,https://www.dicoding.com/academies/276-menjadi-back-end-developer-expert-dengan-javascript,Interactive Course + Certificate,Dicoding
RES0030,R002,5,React,https://www.dicoding.com/academies/418-menjadi-react-web-developer-expert,Interactive Course + Certificate,Dicoding
RES0031,R003,1,Python,https://www.coursera.org/learn/ai-code-generation-everyone,Video Course + Certificate,Coursera
RES0032,R003,1,Python,https://www.coursera.org/learn/bioinformatics,Video Course + Certificate,Coursera
