role_id,field_id,role_name,R,I,A,S,E,C
R001,F01,Software Engineer / Developer,0.435,0.842,0.228,0.135,0.145,0.77
R002,F01,Frontend Developer,0.167,0.75,0.75,0.25,0.167,0.583
R003,F01,Backend Developer,0.25,0.967,0.167,0.083,0.133,0.833
R004,F01,Full Stack Developer,0.25,0.917,0.5,0.167,0.167,0.75
R005,F01,Mobile App (Android/iOS) Developer,0.25,0.867,0.417,0.167,0.167,0.7
R006,F01,DevOps Engineer,0.333,0.833,0.083,0.083,0.167,0.967
R007,F01,QA / Software Tester,0.467,0.793,0.115,0.088,0.095,0.778
R008,F01,System Analyst,0.25,0.917,0.25,0.417,0.333,0.75
R009,F01,Game Developer,0.25,0.833,0.75,0.167,0.167,0.5
R010,F01,Embedded Systems Engineer,0.583,0.833,0.083,0.083,0.083,0.833
R011,F01,Cloud Engineer,0.333,0.917,0.083,0.083,0.167,0.917
R012,F01,System Administrator,0.417,0.75,0.083,0.167,0.167,1
R013,F01,Network Engineer,0.417,0.833,0.083,0.083,0.083,0.917
R014,F01,Project Manager,0.122,0.478,0.128,0.278,0.818,0.718
R015,F01,AR/VR Developer,0.25,0.833,0.833,0.167,0.167,0.5
R016,F01,Blockchain Developer,0.4,0.713,0.178,0.095,0.398,0.782
R017,F01,System Engineer,0.333,0.917,0.167,0.167,0.25,0.833
R018,F01,Infrastructure Architect,0.333,0.917,0.167,0.25,0.5,0.917
R019,F01,Virtualization Specialist,0.417,0.833,0.083,0.083,0.167,0.967
R020,F01,Cyber Security Analyst/Architect,0.333,0.967,0.083,0.083,0.167,0.833
R021,F01,Security Consultant,0.25,0.833,0.167,0.417,0.583,0.75
R022,F01,Ethical Hacker,0.417,0.917,0.167,0.083,0.167,0.75
R023,F01,SOC Analyst,0.333,0.917,0.083,0.083,0.133,0.917
R024,F01,Information Security Specialist,0.55,0.757,0.055,0.138,0.277,0.843
R025,F01,Cyber Defense,0.417,0.917,0.083,0.083,0.167,0.833
R026,F01,Solution Architect,0.25,0.917,0.333,0.417,0.583,0.75
R027,F02,Data Analyst,0.167,0.917,0.25,0.25,0.25,0.833
R028,F02,Data Scientist,0.2,1,0.27,0.11,0.12,0.73
R029,F02,Machine Learning Engineer,0.25,0.967,0.25,0.083,0.167,0.8
R030,F02,AI Engineer,0.25,0.967,0.333,0.083,0.167,0.75
R031,F02,Business Intelligence Analyst,0.04,0.735,0.155,0.142,0.57,0.798
R032,F02,Data Engineer,0.333,0.917,0.167,0.083,0.167,0.917
R033,F02,Product Analyst,0.167,0.833,0.25,0.417,0.5,0.75
R034,F02,Big Data Engineer,0.333,0.917,0.167,0.083,0.167,0.917
R035,F02,Analytics Engineer,0.25,0.917,0.167,0.167,0.25,0.917
R036,F02,Deep Learning Engineer,0.25,1,0.333,0.083,0.167,0.75
R037,F02,NLP Engineer (Natural Language Processing),0.167,0.967,0.417,0.083,0.133,0.75
R038,F02,Computer Vision Engineer,0.25,0.967,0.417,0.083,0.133,0.75
R039,F02,AI Prompt Engineer,0.083,0.75,0.75,0.333,0.417,0.5
R040,F02,Data Modeler,0.333,0.917,0.167,0.167,0.25,0.917
R041,F02,Data Architect,0.272,0.772,0.193,0.152,0.28,0.853
R042,F02,Database Developer,0.333,0.833,0.083,0.083,0.167,0.967
R043,F02,Database Administrator (DBA),0.305,0.638,0.033,0.215,0.323,0.935
R044,F03,UI Designer,0.265,0.647,0.58,0.2,0.355,0.567
R045,F03,UX Designer,0.083,0.75,0.833,0.583,0.333,0.417
R046,F03,Product Designer,0.167,0.75,0.917,0.417,0.417,0.5
R047,F03,Graphic Designer,0.397,0.31,1,0.193,0.405,0.487
R048,F03,Motion Designer,0.167,0.583,1,0.167,0.25,0.417
R049,F03,UX Researcher,0.083,0.917,0.583,0.75,0.333,0.417
R050,F03,Illustrator,0.508,0.28,1,0.213,0.228,0.223
R051,F03,3D Designer,0.25,0.583,1,0.167,0.25,0.417
R052,F03,Game UI Designer,0.295,0.525,0.897,0.217,0.487,0.475
R053,F03,Design System Designer,0.167,0.75,0.75,0.333,0.25,0.75
R054,F03,AR/VR Developer (Unity),0.25,0.833,0.833,0.167,0.167,0.5
R055,F04,Digital Marketing Specialist,0.083,0.583,0.75,0.583,0.75,0.5
R056,F04,SEO Specialist,0.167,0.75,0.417,0.25,0.333,0.833
R057,F04,Content Strategist,0.083,0.667,0.833,0.583,0.583,0.583
R058,F04,Performance Marketer (Ads),0.167,0.75,0.5,0.333,0.833,0.667
R059,F04,Marketing Analyst,0.013,0.6,0.26,0.245,0.753,0.603
R060,F04,CRM Specialist,0.167,0.667,0.333,0.583,0.667,0.917
R061,F04,Content Writer / Copywriter,0.083,0.5,0.917,0.417,0.583,0.417
R062,F04,Social Media Manager,0.083,0.583,0.833,0.75,0.75,0.5
R063,F04,Community Manager,0.083,0.5,0.667,0.917,0.667,0.5
R064,F04,Virtual Assistant,0.167,0.417,0.25,0.583,0.417,0.917
R065,F04,Marketing Associate,0.167,0.583,0.5,0.583,0.667,0.667
R066,F04,E-commerce Manager,0.25,0.667,0.417,0.417,0.917,0.833
R067,F04,Campaign Analyst,0.167,0.833,0.333,0.333,0.583,0.833
R068,F04,Business Analyst (Marketing focus),0.167,0.833,0.333,0.417,0.583,0.833
