course_title,course_organization,course_certificate_type,course_rating,course_review_num,course_time,course_difficulty,course_students_enrolled,course_url,course_skills,course_tools,course_summary,course_description
20世纪西方音乐 Western Music in the 20th Century,Not Specified,Professional Certificate,,53,1 Weeks,Advanced,0,https://www.coursera.org/learn/20cnwm,Classical Music; Music; Music History; Music Performance; Music Theory; World Music; Musical Composition,Not Specified,Not Specified,Not Specified
VR and 360 Video Production,Not Specified,Professional Certificate,,897,1 Weeks,Advanced,129,https://www.coursera.org/learn/360-vr-video-production,Post-Production; Media Production; Video Production; Cinematography; Augmented and Virtual Reality (AR/VR); Editing; Virtual Reality; Virtual Environment; Photo/Video Production and Technology,Not Specified,Not Specified,Not Specified
3D Character Design Workshop with Nomad Sculpt,Not Specified,Professional Certificate,,0,6 Hours,Advanced,97,https://www.coursera.org/learn/3d-character-design-workshop-with-nomad-sculpt,Color Theory; Computer Graphics; Animations; Visualization (Computer Graphics); Creative Design; 3D Modeling; 3D Assets,Graphical Tools,Not Specified,Not Specified
Current Gen 3D Game Prop Production,Not Specified,Professional Certificate,,51,2 Weeks,Advanced,41,https://www.coursera.org/learn/3d-game-prop-production,Prototyping; Computer Graphics; 3D Assets; Baking; Design Research; 3D Modeling; Computer Graphic Techniques,Graphical Tools,Not Specified,Not Specified
4 Day Creative Reset: Reduce Stress & Boost Productivity,Not Specified,Professional Certificate,,0,4- Days,Advanced,97,https://www.coursera.org/learn/4-day-creative-reset-reduce-stress--boost-productivity,Personal Development; Mental Concentration; Productivity; Creativity; Prioritization; Planning; Mindfulness; Goal Setting; Self-Awareness; Growth Mindedness; Stress Management; Resilience,Not Specified,Not Specified,Not Specified
Introduction to Ableton Live,Not Specified,Professional Certificate,,120,1 Weeks,Advanced,90,https://www.coursera.org/learn/ableton-live,File Management; Music Performance; Musical Composition; Editing; Creativity; Music; Automation; digital literacy; Media Production; Software Installation,Not Specified,Not Specified,Not Specified
Accessibility to the Scenic Arts,Not Specified,Professional Certificate,,12,2 Weeks,Advanced,3,https://www.coursera.org/learn/accessibility-scenic-arts,Not Specified,Not Specified,Not Specified,Not Specified
ART of the MOOC: Activism and Social Movements,Not Specified,Professional Certificate,,34,1 Weeks,Advanced,0,https://www.coursera.org/learn/activism-social-movements,Cultural Diversity; Social Justice; Research; Creativity; Student Engagement; Performing Arts; Liberal Arts; Social Impact; Social Sciences; Advocacy; Community Organizing,Not Specified,Not Specified,Not Specified
Activism in Sports and Culture,Not Specified,Professional Certificate,,17,2 Weeks,Advanced,2,https://www.coursera.org/learn/activism-sports-culture,Social Sciences; Writing; Sociology; Oral Expression; Cultural Responsiveness; Social Justice; Social Studies; Journalism; Media and Communications,Not Specified,Not Specified,Not Specified
ART of the MOOC: Activismo y Movimientos Sociales,Not Specified,Professional Certificate,,7,2 Weeks,Advanced,50,https://www.coursera.org/learn/activismo-movimientos-sociales,Social Sciences; Media and Communications; World History; Cultural Diversity; Performing Arts; Art History; Social Justice; Liberal Arts; Social Impact; Community Organizing; Creativity,Not Specified,Not Specified,Not Specified
