course_title,course_organization,course_certificate_type,course_rating,course_review_num,course_time,course_difficulty,course_students_enrolled,course_url,course_skills,course_tools,course_summary,course_description
Advanced Computer Vision with TensorFlow,Not Specified,Professional Certificate,,135,2 Weeks,Advanced,600,https://www.coursera.org/learn/advanced-computer-vision-with-tensorflow,Network Architecture; Convolutional Neural Networks; Deep Learning; Image Analysis; Visualization (Computer Graphics); Transfer Learning; Computer Vision; Model Evaluation,Tensorflow; Classification Algorithms; Keras (Neural Network Library),Not Specified,Not Specified
Advanced Data Analysis & Visualization with Copilot in Excel,Not Specified,Professional Certificate,,38,2 Weeks,Advanced,0,https://www.coursera.org/learn/advanced-data-analysis-and-visualization-with-copilot-in-excel,Not Specified,Not Specified,Not Specified,Not Specified
Deep Learning with PyTorch,Not Specified,Professional Certificate,,93,2 Weeks,Advanced,2,https://www.coursera.org/learn/advanced-deep-learning-with-pytorch,Not Specified,Not Specified,Not Specified,Not Specified
Data Visualization with Advanced Excel,Not Specified,Professional Certificate,,6,2 Weeks,Advanced,397,https://www.coursera.org/learn/advanced-excel,Not Specified,Not Specified,Not Specified,Not Specified
Advanced Learning Algorithms,Not Specified,Professional Certificate,,577,3 Weeks,Advanced,9,https://www.coursera.org/learn/advanced-learning-algorithms,Not Specified,Not Specified,Not Specified,Not Specified
Advanced Prompt Engineering Course,Not Specified,Professional Certificate,,0,8 Hours,Advanced,66,https://www.coursera.org/learn/advanced-prompt-engineering-course,Data Synthesis; Prompt Patterns; Retrieval-Augmented Generation; Prompt Engineering Tools; Large Language Modeling; LLM Application,Generative AI; OpenAI API; AI Workflows; LangChain,Not Specified,Not Specified
Advanced Prompt Engineering for Everyone,Not Specified,Professional Certificate,,759,9 Hours,Advanced,1,https://www.coursera.org/learn/advanced-prompt-engineering-for-everyone,Not Specified,Not Specified,Not Specified,Not Specified
Agentic AI and AI Agents: A Primer for Leaders,Not Specified,Professional Certificate,,286,5 Hours,Advanced,1,https://www.coursera.org/learn/agentic-ai,Not Specified,Not Specified,Not Specified,Not Specified
ChatGPT & Zapier: Agentic AI for Everyone,Not Specified,Professional Certificate,,132,8 Hours,Advanced,1,https://www.coursera.org/learn/agentic-ai-chatgpt-zapier,Agentic systems; Workflow Management; Expense Reports; Artificial Intelligence; Natural Language Processing; Email Automation; Generative AI Agents; Expense Management; Travel Arrangements,ChatGPT; Prompt Engineering; Google Sheets; Agentic Workflows; Make.com; Generative AI; AI Workflows,Not Specified,Not Specified
Agentic AI Content for Practitioners: Marketing,Not Specified,Professional Certificate,,0,4 Hours,Advanced,0,https://www.coursera.org/learn/agentic-ai-content-for-practitioners-teams-marketing,Not Specified,Not Specified,Not Specified,Not Specified
