course_title,course_organization,course_certificate_type,course_rating,course_review_num,course_time,course_difficulty,course_students_enrolled,course_url,course_skills,course_tools,course_summary,course_description
Accounting 1,Not Specified,Professional Certificate,,290,2 Weeks,Advanced,28,https://www.coursera.org/learn/accounting-1,Not Specified,Not Specified,Not Specified,Not Specified
Accounting Analytics,Not Specified,Professional Certificate,,220,1 Weeks,Advanced,529,https://www.coursera.org/learn/accounting-analytics,Not Specified,Not Specified,Not Specified,Not Specified
Tracking assets and sales,Not Specified,Professional Certificate,,361,1 Weeks,Advanced,384,https://www.coursera.org/learn/accounting-assets,Not Specified,Not Specified,Not Specified,Not Specified
Administração Financeira,Not Specified,Professional Certificate,,941,2 Weeks,Advanced,67,https://www.coursera.org/learn/administracao-financeira,Not Specified,Not Specified,Not Specified,Not Specified
The Payroll Cycle,Not Specified,Professional Certificate,,115,1 Weeks,Advanced,85,https://www.coursera.org/learn/adp-the-payroll-cycle,Not Specified,Not Specified,Not Specified,Not Specified
The Payroll Professional,Not Specified,Professional Certificate,,578,5 Hours,Advanced,85,https://www.coursera.org/learn/adp-the-payroll-professional,Compliance Management; Communication Strategies; Continuous Improvement Process; Customer Service; Payroll Processing; Payroll; Payroll Administration; Compensation Management; Payroll Reporting,Payroll Systems; Human Resources Information System (HRIS),Not Specified,Not Specified
Advanced Leadership Skills,Not Specified,Professional Certificate,,0,3 Weeks,Advanced,247,https://www.coursera.org/learn/advanced-leadership-skills,Not Specified,Not Specified,Not Specified,Not Specified
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Not Specified,Professional Certificate,,384,2 Weeks,Advanced,172,https://www.coursera.org/learn/advanced-valuation-and-strategy,Not Specified,Not Specified,Not Specified,Not Specified
Advertising with Meta,Not Specified,Professional Certificate,,797,2 Weeks,Advanced,0,https://www.coursera.org/learn/advertising-with-facebook,Not Specified,Not Specified,Not Specified,Not Specified
Agile Project Management,Not Specified,Professional Certificate,,190,2 Weeks,Advanced,16,https://www.coursera.org/learn/agile-project-management,Not Specified,Not Specified,Not Specified,Not Specified
AI Applications in Accounting and Finance,Not Specified,Professional Certificate,,0,2 Weeks,Advanced,2,https://www.coursera.org/learn/ai-accounting-finance,Not Specified,Not Specified,Not Specified,Not Specified
"AI, Business & the Future of Work",Not Specified,Professional Certificate,,487,1 Weeks,Advanced,125,https://www.coursera.org/learn/ai-business-future-of-work,Not Specified,Not Specified,Not Specified,Not Specified
AI Essentials,Not Specified,Professional Certificate,,0,3 Weeks,Advanced,31,https://www.coursera.org/learn/ai-essentials1,Not Specified,Not Specified,Not Specified,Not Specified
AI For Everyone,Not Specified,Professional Certificate,,203,7 Hours,Advanced,9,https://www.coursera.org/learn/ai-for-everyone,Responsible AI; Machine Learning; Artificial Intelligence; Deep Learning; AI Product Strategy; Data Ethics; Data Science; AI Enablement; Artificial Neural Networks,Not Specified,Not Specified,Not Specified
AI Automation with Claude,Not Specified,Professional Certificate,,6,3 Hours,Advanced,9,https://www.coursera.org/learn/ai-for-everyone-ai-automation-with-claude,Retrieval-Augmented Generation; Multimodal Prompts; Image Analysis; Business Process Automation,AI Workflows,Not Specified,Not Specified
AI Fundamentals with Claude,Not Specified,Professional Certificate,,28,4 Hours,Advanced,9,https://www.coursera.org/learn/ai-for-everyone-ai-fundamentals-with-claude,Critical Thinking; Independent Thinking,Not Specified,Not Specified,Not Specified
KI für alle,Not Specified,Professional Certificate,,25,6 Hours,Advanced,9,https://www.coursera.org/learn/ai-for-everyone-de,Artificial Intelligence; AI Product Strategy; Machine Learning; Data Ethics; Sales; Data Science; Business Strategy; Social Impact; Team Building; Deep Learning; Artificial Neural Networks; Writing,Not Specified,Not Specified,Not Specified
IA Para Todos (Español),Not Specified,Professional Certificate,,370,6 Hours,Advanced,9,https://www.coursera.org/learn/ai-for-everyone-es,Not Specified,Not Specified,Not Specified,Not Specified
