resource_id,role_id,step_number,nama_skill,link_course,tipe,platform
RES0001,R014,5,Risk Management - Security Principles,https://www.coursera.org/learn/-security-principles,Video Course + Certificate,Coursera
RES0002,R001,5,Html - An Introduction To Accessibility And Inclusive Design,https://www.coursera.org/learn/accessibility,Video Course + Certificate,Coursera
RES0003,R002,5,Html - An Introduction To Accessibility And Inclusive Design,https://www.coursera.org/learn/accessibility,Video Course + Certificate,Coursera
RES0004,R004,5,Html - An Introduction To Accessibility And Inclusive Design,https://www.coursera.org/learn/accessibility,Video Course + Certificate,Coursera
RES0005,R020,5,Compliance - An Introduction To Accessibility And Inclusive Design,https://www.coursera.org/learn/accessibility,Video Course + Certificate,Coursera
RES0006,R044,5,Html - An Introduction To Accessibility And Inclusive Design,https://www.coursera.org/learn/accessibility,Video Course + Certificate,Coursera
RES0007,R064,5,Microsoft Office - An Introduction To Accessibility And Inclusive Design,https://www.coursera.org/learn/accessibility,Video Course + Certificate,Coursera
RES0008,R047,5,"Adobe Illustrator, Typography, Color Theory - Graphic Design",https://www.coursera.org/learn/adobe-graphic-design,Video Course + Certificate,Coursera
RES0009,R050,5,"Adobe Illustrator, Typography, Color Theory - Graphic Design",https://www.coursera.org/learn/adobe-graphic-design,Video Course + Certificate,Coursera
RES0010,R052,5,Typography - Graphic Design,https://www.coursera.org/learn/adobe-graphic-design,Video Course + Certificate,Coursera
RES0011,R039,5,"Rag, Vector Databases - Advanced Rag With Vector Databases And Retrievers",https://www.coursera.org/learn/advanced-rag-with-vector-databases-and-retrievers,Video Course + Certificate,Coursera
RES0012,R042,5,Performance Tuning - Advanced Rag With Vector Databases And Retrievers,https://www.coursera.org/learn/advanced-rag-with-vector-databases-and-retrievers,Video Course + Certificate,Coursera
RES0013,R043,5,Performance Tuning - Advanced Rag With Vector Databases And Retrievers,https://www.coursera.org/learn/advanced-rag-with-vector-databases-and-retrievers,Video Course + Certificate,Coursera
RES0014,R001,5,"Javascript, React - Advanced React",https://www.coursera.org/learn/advanced-react,Video Course + Certificate,Coursera
RES0015,R002,5,"Javascript, React - Advanced React",https://www.coursera.org/learn/advanced-react,Video Course + Certificate,Coursera
RES0016,R004,5,"React, Javascript - Advanced React",https://www.coursera.org/learn/advanced-react,Video Course + Certificate,Coursera
RES0017,R053,5,React - Advanced React,https://www.coursera.org/learn/advanced-react,Video Course + Certificate,Coursera
RES0018,R001,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0019,R003,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0020,R006,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0021,R007,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0022,R009,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0023,R010,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0024,R011,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0025,R016,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0026,R017,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0027,R018,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0028,R020,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0029,R021,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0030,R022,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0031,R023,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0032,R024,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0033,R025,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0034,R026,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0035,R027,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0036,R028,5,"Python, Machine Learning - Agentic Ai With Langchain And Langgraph",https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0037,R029,5,"Python, Machine Learning - Agentic Ai With Langchain And Langgraph",https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0038,R030,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0039,R032,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0040,R033,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0041,R034,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0042,R035,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0043,R036,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0044,R037,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0045,R038,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0046,R039,5,"Python, Langchain - Agentic Ai With Langchain And Langgraph",https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0047,R040,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0048,R041,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
RES0049,R059,5,Python - Agentic Ai With Langchain And Langgraph,https://www.coursera.org/learn/agentic-ai-with-langchain-and-langgraph,Video Course + Certificate,Coursera
